515 3
586995.221453 2333882.622250 9.966357
586604.648581 2333854.035910 10.928847
586051.358895 2333842.557930 10.655560
585919.432861 2332921.734170 -2.431010
585852.685849 2333414.903270 10.630465
585229.100046 2332723.795830 9.870477
584680.927480 2331977.954450 13.601007
584888.658730 2332367.253760 -2.711757
587497.163851 2334301.237690 14.227413
587067.510721 2334499.300570 13.734405
586836.079647 2334176.668230 9.526143
586325.445178 2334215.478610 9.813004
585927.315103 2334313.750300 9.634904
585719.583829 2333924.450990 11.126770
585503.186329 2333096.716520 -2.257681
585511.852554 2333535.151680 10.370877
584851.484785 2332902.286720 6.265221
584315.221641 2332288.910630 12.775801
584464.420007 2332707.581430 8.914245
586599.531484 2334588.399320 13.728596
586135.046395 2334703.049620 13.321521
585660.542179 2334776.985380 14.872465
585497.273051 2334310.480220 9.981170
585334.003932 2333843.975060 8.818519
584936.763450 2333364.452860 -1.733303
584328.464654 2333261.747300 1.853777
584047.930706 2333025.935260 8.899649
583831.663470 2332289.489580 10.676434
583767.396783 2332790.123260 0.611747
585192.599461 2334750.951310 14.524547
585049.222716 2334348.616840 10.221085
584905.845987 2333946.282350 11.301644
583477.228025 2332966.521560 1.316954
584594.130512 2333776.828250 8.730634
584146.202399 2333717.214990 -10.484867
583705.141657 2333275.087050 5.059873
583373.687666 2332263.079660 10.361782
583286.868216 2332707.498520 -1.025812
584764.262846 2334684.446790 9.669017
584680.554404 2334237.880740 10.836661
583203.793866 2333132.746660 1.020290
584341.026860 2334184.570410 10.648448
583861.118203 2333963.811830 -2.461938
583288.910677 2333564.743630 0.836310
583644.784661 2333745.264650 -0.763994
582919.509141 2332213.617680 13.500696
582853.405541 2332623.181290 -1.712154
582787.301928 2333032.744900 0.167552
584347.076879 2334629.005390 9.389604
582955.016844 2333535.441160 -1.318425
583896.568268 2334354.318030 7.757266
583586.202982 2334201.612580 9.688608
583128.184146 2333942.387360 9.702036
582446.603586 2332290.392540 12.885362
582372.471834 2332785.398020 -2.729651
582640.235953 2333407.127080 -1.426091
582300.124605 2333268.487540 -2.237073
583932.018353 2334744.824240 8.533580
582595.691717 2334219.920620 12.457964
582560.044462 2333758.566820 3.098472
582975.580365 2334300.945830 13.057089
583529.263288 2334645.169590 9.572095
583268.997362 2334253.214100 11.909612
581963.446911 2332341.267290 14.741196
581904.707328 2332795.473980 -3.423016
582229.518557 2333739.950510 8.797284
581847.396080 2333238.636120 -4.284737
582160.608163 2334200.091150 9.838000
583152.353612 2334570.813020 8.905748
581502.255248 2332470.412560 13.431071
581451.576719 2332886.555950 -3.898427
581679.419664 2333695.375550 8.463571
581736.916562 2334092.924540 13.500496
581400.972739 2333302.087140 -4.166243
581137.813559 2333101.114080 -6.456524
581053.007484 2332592.881460 12.929714
581351.992597 2333704.284470 6.894384
581304.093172 2334097.607690 14.292860
580943.841278 2333534.691380 7.492598
580721.979167 2333120.862680 -4.810286
580639.697683 2332695.457520 13.321705
580890.699118 2333993.164990 11.146899
580519.680710 2333507.951490 6.733326
580338.985434 2333089.438510 1.165559
580452.260817 2332383.297530 15.290747
580321.702006 2332632.021220 14.527641
580455.617418 2333941.649030 12.628559
579998.864971 2333535.050590 7.116044
579999.312325 2333028.269560 10.860171
580152.753994 2332213.150670 15.347585
579989.525460 2332565.756030 -3.159671
579996.288004 2334029.681630 14.166662
